	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	FinalAge206_238	FinalAge206_238_Int2SE	FinalAge206_238_Prop2SE	FinalAge207_235	FinalAge207_235_Int2SE	FinalAge207_235_Prop2SE	FinalAge208_232	FinalAge208_232_Int2SE	Final206_204	Final206_204_Int2SE	Final207_204	Final207_204_Int2SE	Final208_204	Final208_204_Int2SE	Approx_U_PPM	Approx_U_PPM_Int2SE	Approx_Th_PPM	Approx_Th_PPM_Int2SE	Approx_Pb_PPM	Approx_Pb_PPM_Int2SE	FInal_U_Th_Ratio	FInal_U_Th_Ratio_Int2SE	Final238_206	Final238_206_Int2SE	FinalAge207_206	FinalAge207_206_Int2SE	FinalDiscPercent	FinalDiscPercent_Int2SE	FinalAnd207_235	FinalAnd207_235_Int2SE	FinalAnd207_235_Prop2SE	FinalAnd206_238	FinalAnd206_238_Int2SE	FinalAnd206_238_Prop2SE	FinalAnd208_232	FinalAnd208_232_Int2SE	FinalAnd238_206	FinalAnd238_206_Int2SE	FinalAnd207_206	FinalAnd207_206_Int2SE	FinalAgeAnd207_206	FinalAgeAnd207_206_Int2SE	FinalAgeAnd207_235	FinalAgeAnd207_235_Int2SE	FinalAgeAnd207_235_Prop2SE	FinalAgeAnd206_238	FinalAgeAnd206_238_Int2SE	FinalAgeAnd206_238_Prop2SE	FinalAgeAnd208_232	FinalAgeAnd208_232_Int2SE	FinalFracCommonPb	FinalFracCommonPb_Int2SE	FinalFracLostPb	FinalFracLostPb_Int2SE	AndersenSolution	AndersenSolution_Int2SE	FinalPbC207_235	FinalPbC207_235_Int2SE	FinalPbC207_235_Prop2SE	FinalPbC206_238	FinalPbC206_238_Int2SE	FinalPbC206_238_Prop2SE	FinalPbC208_232	FinalPbC208_232_Int2SE	FinalPbC207_206	FinalPbC207_206_Int2SE	FinalPbC238_206	FinalPbC238_206_Int2SE	FinalAgePbC207_206	FinalAgePbC207_206_Int2SE	FinalAgePbC207_235	FinalAgePbC207_235_Int2SE	FinalAgePbC207_235_Prop2SE	FinalAgePbC206_238	FinalAgePbC206_238_Int2SE	FinalAgePbC206_238_Prop2SE	FinalAgePbC208_232	FinalAgePbC208_232_Int2SE	ExtraMetaData
AS3_11	AS3_18.FIN2	03/08/2012 (6) 23:45:44.24	03/08/2012 (6)	23:45:44.24	19.97	AS3_18.FIN2	1.897	0.027	0.039	0.1885	0.0022	0.0060		0.1688607	0.07527	0.00084	0.0017	no value	NAN	no value	NAN	1113	12	33	1079.3	9.4	14	no value	NAN	370	100	28.1	7.7	82	22	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.30504	0.061	1082	12	3.71	0.41	1.959	0.036	0.053	0.1894	0.0023	0.0063	no value	NAN	5.287	0.063	0.07688	0.00048	1118	12	1102	13	19	1118	12	34	no value	NAN	-0.0028	0.0011	-0.0028	0.0011	0.323	0.037	0.57	0.12	0.17	0.1765	0.0023	0.0064	no value	NAN	0.0238	0.0049	5.664	0.072	610	120	394	82	120	1048	12	34	no value	NAN	FILENAME: AS3_18.FIN2;
AS3_12	AS3_20.FIN2	03/08/2012 (6) 23:47:04.24	03/08/2012 (6)	23:47:04.24	19.97	AS3_20.FIN2	1.993	0.021	0.036	0.1988	0.0017	0.0059		0.1492861	0.07551	0.00051	0.0016	no value	NAN	no value	NAN	1168.7	9.2	31	1113.2	7.3	12	no value	NAN	1590	240	119	18	253	39	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.030181	0.043	1087.4	7.6	3.94	0.37	2.089	0.033	0.056	0.1997	0.0018	0.0063	no value	NAN	5.015	0.046	0.07749	0.00041	1133	11	1144	11	18	1173.5	9.9	34	no value	NAN	-0.00394	0.00095	-0.00394	0.00095	0.329	0.037	1.654	0.037	0.062	0.1961	0.0017	0.0059	no value	NAN	0.0639	0.0012	5.098	0.044	744	39	991	14	24	1154.0	9.3	32	no value	NAN	FILENAME: AS3_20.FIN2;
AS3_13	AS3_27.FIN2	04/08/2012 (7) 01:20:57.24	04/08/2012 (7)	01:20:57.24	19.97	AS3_27.FIN2	2.065	0.027	0.039	0.2073	0.0027	0.0062		0.1442757	0.07609	0.00059	0.0016	no value	NAN	no value	NAN	1214	14	33	1135.8	9.0	13	no value	NAN	1120	170	84	13	285	46	no value	NAN	no value	NAN	no value	NAN	no value	NAN	4.823927	0.061	1094.1	9.4	5.45	0.51	2.274	0.053	0.076	0.2089	0.0029	0.0067	no value	NAN	4.794	0.065	0.08010	0.00062	1198	15	1203	16	23	1224	15	36	no value	NAN	-0.0081	0.0013	-0.0081	0.0013	0.243	0.039	1.516	0.042	0.061	0.2025	0.0026	0.0059	no value	NAN	0.0586	0.0016	4.952	0.062	609	49	940	18	25	1188	14	32	no value	NAN	FILENAME: AS3_27.FIN2;
AS3_14	AS3_29.FIN2	04/08/2012 (7) 01:38:17.24	04/08/2012 (7)	01:38:17.24	19.97	AS3_29.FIN2	2.117	0.030	0.041	0.1883	0.0020	0.0057		0.1607586	0.08216	0.00078	0.0017	no value	NAN	no value	NAN	1112	11	31	1154.1	9.9	13	no value	NAN	784	82	63.6	6.4	148	14	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.310674	0.055	1255	17	3.66	0.41	2.019	0.033	0.046	0.1871	0.0020	0.0058	no value	NAN	5.339	0.058	0.07884	0.00063	1169	16	1123	11	15	1105	11	31	no value	NAN	0.0039	0.0010	0.0039	0.0010	0.326	0.037	1.463	0.044	0.060	0.1825	0.0020	0.0055	no value	NAN	0.0588	0.0016	5.473	0.060	611	49	912	19	26	1080	11	30	no value	NAN	FILENAME: AS3_29.FIN2;
AS3_15	AS3_31.FIN2	04/08/2012 (7) 01:55:38.24	04/08/2012 (7)	01:55:38.24	19.97	AS3_31.FIN2	1.983	0.028	0.039	0.1867	0.0020	0.0055		0.157788	0.07484	0.00068	0.0016	no value	NAN	no value	NAN	1104	11	30	1109.0	9.5	13	no value	NAN	710	150	52	11	156	34	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.356186	0.057	1072	11	2.76	0.30	1.972	0.033	0.047	0.1868	0.0021	0.0057	no value	NAN	5.359	0.059	0.07504	0.00040	1068	11	1109	11	16	1103	11	31	no value	NAN	0.00046	0.00057	0.00046	0.00057	0.398	0.031	1.353	0.065	0.093	0.1813	0.0020	0.0054	no value	NAN	0.0524	0.0023	5.518	0.060	569	62	855	29	42	1074	11	29	no value	NAN	FILENAME: AS3_31.FIN2;
AS3_16	AS3_33.FIN2	04/08/2012 (7) 02:12:59.24	04/08/2012 (7)	02:12:59.24	19.97	AS3_33.FIN2	2.044	0.032	0.043	0.1898	0.0028	0.0058		0.1610036	0.07632	0.00068	0.0016	no value	NAN	no value	NAN	1120	15	31	1134	11	14	no value	NAN	570	180	43	14	117	37	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.268704	0.078	1099	10	3.11	0.36	2.028	0.044	0.058	0.1897	0.0029	0.0059	no value	NAN	5.279	0.081	0.07578	0.00045	1090	11	1125	14	19	1119	16	32	no value	NAN	0.00093	0.00084	0.00093	0.00084	0.371	0.034	1.23	0.10	0.14	0.1818	0.0026	0.0054	no value	NAN	0.0483	0.0038	5.486	0.075	679	69	767	59	79	1076	14	29	no value	NAN	FILENAME: AS3_33.FIN2;
AS3_17	AS3_35.FIN2	04/08/2012 (7) 02:30:19.24	04/08/2012 (7)	02:30:19.24	19.97	AS3_35.FIN2	1.964	0.027	0.039	0.1783	0.0020	0.0054		0.16986	0.07581	0.00081	0.0017	no value	NAN	no value	NAN	1059	11	30	1103.2	9.3	13	no value	NAN	740	240	55	18	178	57	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.608525	0.062	1093	12	4.19	0.45	1.857	0.031	0.044	0.1775	0.0021	0.0056	no value	NAN	5.635	0.065	0.07442	0.00042	1053	11	1069	11	15	1054	11	31	no value	NAN	0.0047	0.0012	0.0047	0.0012	0.311	0.038	1.354	0.080	0.11	0.1731	0.0021	0.0057	no value	NAN	0.0538	0.0029	5.772	0.070	691	72	847	37	53	1029	11	31	no value	NAN	FILENAME: AS3_35.FIN2;
AS3_18	AS3_37.FIN2	04/08/2012 (7) 02:47:40.24	04/08/2012 (7)	02:47:40.24	19.97	AS3_37.FIN2	1.952	0.031	0.042	0.1845	0.0022	0.0056		0.1645111	0.07626	0.00093	0.0017	no value	NAN	no value	NAN	1091	12	30	1100	11	14	no value	NAN	520	120	39.4	9.6	99	24	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.420054	0.067	1103	14	3.73	0.40	1.943	0.036	0.048	0.1842	0.0023	0.0060	no value	NAN	5.436	0.069	0.07638	0.00051	1104	13	1095	12	17	1090	13	32	no value	NAN	0.0003	0.0011	0.0003	0.0011	0.332	0.037	0.97	0.12	0.16	0.1754	0.0022	0.0057	no value	NAN	0.0400	0.0047	5.711	0.075	693	86	667	65	86	1042	12	31	no value	NAN	FILENAME: AS3_37.FIN2;
AS3_19	AS3_45.FIN2	04/08/2012 (7) 03:55:43.24	04/08/2012 (7)	03:55:43.24	19.97	AS3_45.FIN2	1.940	0.027	0.039	0.1854	0.0023	0.0057		0.1658271	0.07626	0.00061	0.0016	no value	NAN	no value	NAN	1096	12	31	1094.0	9.5	14	no value	NAN	1610	330	120	25	312	65	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.393743	0.068	1093.5	9.9	2.73	0.32	1.968	0.033	0.047	0.1856	0.0024	0.0058	no value	NAN	5.398	0.070	0.07633	0.00042	1102	11	1102	11	16	1097	13	32	no value	NAN	-0.00104	0.00059	-0.00104	0.00059	0.395	0.032	1.687	0.036	0.051	0.1838	0.0023	0.0056	no value	NAN	0.0676	0.0012	5.452	0.068	864	37	1006	13	19	1088	12	31	no value	NAN	FILENAME: AS3_45.FIN2;
AS3_20	AS3_48.FIN2	04/08/2012 (7) 05:55:38.24	04/08/2012 (7)	05:55:38.24	19.97	AS3_48.FIN2	1.936	0.036	0.046	0.1863	0.0027	0.0058		0.1671099	0.0758	0.0013	0.0020	no value	NAN	no value	NAN	1102	15	32	1091	13	16	no value	NAN	163	63	12.5	4.7	27	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.367687	0.078	1103	17	4.87	0.61	1.947	0.044	0.055	0.1866	0.0029	0.0063	no value	NAN	5.368	0.085	0.07645	0.00063	1108	17	1096	15	19	1102	16	34	no value	NAN	0.0003	0.0017	0.0003	0.0017	0.305	0.038	0.06	0.24	0.31	0.1703	0.0034	0.0074	no value	NAN	-0.001	0.011	5.88	0.12	1010	170	360	140	170	1014	19	41	no value	NAN	FILENAME: AS3_48.FIN2;
AS3_21	AS3_50.FIN2	04/08/2012 (7) 06:12:59.24	04/08/2012 (7)	06:12:59.24	19.97	AS3_50.FIN2	2.059	0.034	0.044	0.1937	0.0024	0.0057		0.1519202	0.07554	0.00090	0.0017	no value	NAN	no value	NAN	1143	13	31	1135	11	14	no value	NAN	4.6E+03	2.6E+03	350	210	850	490	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.162623	0.065	1099	15	4.04	0.48	2.064	0.040	0.052	0.1939	0.0026	0.0060	no value	NAN	5.149	0.070	0.07698	0.00057	1119	15	1137	13	17	1142	14	33	no value	NAN	-0.0015	0.0013	-0.0015	0.0013	0.308	0.038	1.22	0.12	0.15	0.1865	0.0025	0.0059	no value	NAN	0.0466	0.0042	5.362	0.071	753	82	803	54	69	1102	14	32	no value	NAN	FILENAME: AS3_50.FIN2;
AS3_22	AS3_52.FIN2	04/08/2012 (7) 06:30:20.24	04/08/2012 (7)	06:30:20.24	19.97	AS3_52.FIN2	2.008	0.032	0.043	0.1880	0.0023	0.0057		0.1612721	0.07683	0.00085	0.0017	no value	NAN	no value	NAN	1110	13	31	1117	11	14	no value	NAN	1130	420	96	32	300	100	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.319149	0.065	1120	13	3.46	0.40	1.974	0.036	0.047	0.1878	0.0024	0.0060	no value	NAN	5.333	0.066	0.07647	0.00049	1108	13	1108	12	15	1110	13	32	no value	NAN	0.00066	0.00090	0.00066	0.00090	0.365	0.034	1.596	0.063	0.082	0.1847	0.0023	0.0056	no value	NAN	0.0621	0.0021	5.415	0.066	759	64	966	25	32	1092	12	31	no value	NAN	FILENAME: AS3_52.FIN2;
AS3_23	AS3_54.FIN2	04/08/2012 (7) 06:47:41.24	04/08/2012 (7)	06:47:41.24	19.97	AS3_54.FIN2	1.972	0.038	0.047	0.1902	0.0021	0.0057		0.1575629	0.0771	0.0014	0.0020	no value	NAN	no value	NAN	1123	11	31	1104	13	16	no value	NAN	358	86	27.0	6.4	67	16	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.257624	0.058	1129	19	5.43	0.55	2.019	0.038	0.047	0.1907	0.0023	0.0063	no value	NAN	5.255	0.065	0.07686	0.00058	1118	16	1120	13	16	1126	13	34	no value	NAN	-0.0013	0.0018	-0.0013	0.0018	0.251	0.039	0.71	0.18	0.23	0.1802	0.0024	0.0065	no value	NAN	0.0284	0.0072	5.550	0.074	1000	160	564	98	120	1069	13	35	no value	NAN	FILENAME: AS3_54.FIN2;
AS3_24	AS3_56.FIN2	04/08/2012 (7) 07:05:01.24	04/08/2012 (7)	07:05:01.24	19.97	AS3_56.FIN2	1.938	0.038	0.047	0.1821	0.0024	0.0057		0.1718917	0.0760	0.0012	0.0019	no value	NAN	no value	NAN	1078	13	31	1094	13	16	no value	NAN	410	110	29.8	8.0	67	18	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.491488	0.070	1117	18	4.68	0.46	1.896	0.039	0.048	0.1815	0.0026	0.0061	no value	NAN	5.510	0.077	0.07562	0.00057	1085	15	1080	14	17	1075	14	33	no value	NAN	0.0012	0.0015	0.0012	0.0015	0.269	0.039	0.75	0.20	0.25	0.1720	0.0027	0.0065	no value	NAN	0.0341	0.0079	5.833	0.094	1070	130	658	95	120	1023	15	36	no value	NAN	FILENAME: AS3_56.FIN2;
AS3_25	AS3_58.FIN2	04/08/2012 (7) 07:22:22.24	04/08/2012 (7)	07:22:22.24	19.97	AS3_58.FIN2	1.948	0.037	0.046	0.1864	0.0027	0.0059		0.1698088	0.0765	0.0013	0.0019	no value	NAN	no value	NAN	1101	15	32	1096	13	16	no value	NAN	180	130	13	10	34	25	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.364807	0.077	1106	17	4.97	0.56	1.957	0.044	0.054	0.1857	0.0029	0.0062	no value	NAN	5.397	0.084	0.07665	0.00061	1109	16	1099	15	19	1098	16	34	no value	NAN	0.0001	0.0016	0.0001	0.0016	0.287	0.038	1.27	0.20	0.25	0.1797	0.0028	0.0061	no value	NAN	0.0510	0.0076	5.597	0.088	1080	120	862	82	100	1065	15	33	no value	NAN	FILENAME: AS3_58.FIN2;
AS3_26	AS3_60.FIN2	04/08/2012 (7) 07:39:43.24	04/08/2012 (7)	07:39:43.24	19.97	AS3_60.FIN2	1.880	0.031	0.042	0.1798	0.0022	0.0057		0.1763175	0.07593	0.00096	0.0018	no value	NAN	no value	NAN	1067	12	31	1074	11	14	no value	NAN	340	160	16	22	-21	92	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.561735	0.066	1088	15	3.67	0.39	1.855	0.032	0.043	0.1800	0.0022	0.0059	no value	NAN	5.585	0.069	0.07518	0.00052	1073	14	1069	12	16	1066	12	32	no value	NAN	-0.0002	0.0011	-0.0002	0.0011	0.323	0.037	1.28	0.12	0.17	0.1739	0.0023	0.0061	no value	NAN	0.0525	0.0047	5.744	0.081	866	95	788	62	84	1033	13	34	no value	NAN	FILENAME: AS3_60.FIN2;
AS3_27	AS3_62.FIN2	04/08/2012 (7) 07:57:03.24	04/08/2012 (7)	07:57:03.24	19.97	AS3_62.FIN2	2.001	0.025	0.038	0.1902	0.0021	0.0056		0.1547986	0.07581	0.00071	0.0016	no value	NAN	no value	NAN	1122	12	30	1115.1	8.6	13	no value	NAN	260	600	19	45	90	190	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.257624	0.056	1096	11	3.15	0.35	2.002	0.032	0.048	0.1902	0.0022	0.0058	no value	NAN	5.251	0.059	0.07607	0.00045	1097	12	1118	11	16	1123	12	32	no value	NAN	-0.00013	0.00075	-0.00013	0.00075	0.374	0.034	1.880	0.039	0.059	0.1892	0.0021	0.0054	no value	NAN	0.0714	0.0014	5.295	0.057	963	40	1070	14	21	1116	11	30	no value	NAN	FILENAME: AS3_62.FIN2;
